language,adapted-concept-num,concept-number,composite-score,concepticonID,leipzig-jakarta-concept,concept-original-reference,IPA,cognates,page_num,comments,
acu,35,34,0.749,262,3rd-person singular pronoun (he/she/it/him/her),"él,ella",áu,NA,,keep,
agr,36,36,0.748,1433,to hit/beat,"strike (hit, beat)",awatut,,,reassess,
hub,36,36,0.748,1433,to hit/beat,golpear,awatasa/awatiamu/awatiat,,p170,reassess,
hub,36,36,0.748,1433,to hit/beat,golpear,ajiatsa/ajiamu/ajiat,,p170,reassess,
jiv,36,36,0.748,1433,to hit/beat,golpear,ajiarttin' tukumratin,,p331,reassess,
jiv,36,36,0.748,1433,to hit/beat,golpear,jatektin,,p331,reassess,
acu,36,36,0.748,1433,to hit/beat,"whip, hit, beat",awátratin,,,reassess,
agr,37,37,0.747,1295,leg/foot,"leg, calf of leg",kuhap,NA,,keep,
agr,37,37,0.747,1301,leg/foot,foot,dawɨ,FOOT1,,rearrange,
hub,37,37,0.747,1301,leg/foot,pie,nawe/nawen,FOOT1,p197,rearrange,
hub,37,37,0.747,1297,leg/foot,pierna,maku/makun,LEG1,p197,rearrange,
jiv,37,37,0.747,1297,leg/foot,pierna,maku,LEG1,p525,rearrange,
jiv,37,37,0.747,1301,leg/foot,pie,nawe,FOOT1,p434,rearrange,
acu,37,37,0.747,1301,leg/foot,pie,náwe,FOOT1,,rearrange,
acu,37,37,0.747,1297,leg/foot,pierna,máku,LEG1,,rearrange,
agr,38,38,0.745,1393,horn,horn,kachu,HORN1,,,
hub,38,38,0.745,1393,horn,cuerno,antiri,HORN2,p153,,
hub,38,38,0.745,1393,horn,cuerno,antirin,NA,,delete,
hub,38,38,0.745,1393,horn,cuerno,kachu,HORN1,p153,,
hub,38,38,0.745,1393,horn,cuerno,kachun,NA,,delete,
jiv,38,38,0.745,1393,horn,cuerno,káchu,HORN1,p176,,
acu,38,38,0.745,1393,horn,cuerno,antíri,HORN2,,,
agr,39,38,0.745,1214,this,this,NA,NA,,keep,
hub,39,38,0.745,1214,this,este,ju,THIS1,p166,,
hub,39,38,0.745,1214,this,este,juna,NA,,delete,
hub,39,38,0.745,1214,this,este,juka,NA,p166,delete,
jiv,39,38,0.745,1214,this,este,jú,THIS1,p279,,
acu,39,38,0.745,1214,this,este,ju,THIS1,,,
agr,40,38,0.745,227,fish,fish,namak,FISH1,,,
hub,40,38,0.745,227,fish,pescado,namak,FISH1,p196,,
hub,40,38,0.745,227,fish,pescado,namakan,NA,,delete,
jiv,40,38,0.745,227,fish,pescado,namak,FISH1,p524,,
acu,40,38,0.745,227,fish,pescado,namák,FISH1,,,
agr,41,41,0.744,1174,yesterday,yesterday,ya'u,YESTERDAY1,,,
hub,41,41,0.744,1174,yesterday,ayer,yau,YESTERDAY1,p138,,
jiv,41,41,0.744,1174,yesterday,ayer,yaú,YESTERDAY1,p88,,
acu,41,41,0.744,1174,yesterday,ayer,yáau,YESTERDAY1,,,
agr,42,42,0.741,1401,to drink,drink,umu-t,DRINK1,,,
hub,42,42,0.741,1401,to drink,beber,umut,DRINK1,p140,,
hub,42,42,0.741,1401,to drink,beber,umartsa/umau/,NA,,delete,
jiv,42,42,0.741,1401,to drink,beber,umartin,DRINK2,p98,,
acu,42,42,0.741,1401,to drink,beber,umúrtin,DRINK2,,,
acu,42,42,0.741,1401,to drink,beber,múrtin/amúrtin/,NA,,delete,
agr,43,42,0.741,163,black,black,bu'kusɨa,NA,,delete,
agr,43,42,0.741,163,black,black,shu'win,BLACK3,,,
hub,43,42,0.741,163,black,negro,mukusa,BLACK1,p189,,
hub,43,42,0.741,163,black,negro,tunturu,BLACK2,p189,,
hub,43,42,0.741,163,black,negro,jakiku,NA,p189,delete,
jiv,43,42,0.741,163,black,negro,mukusa,BLACK1,p476,,
acu,43,42,0.741,163,black,negro,tuntúru,BLACK2,,,
acu,43,42,0.741,163,black,negro,shuwín,BLACK3,,,
acu,43,42,0.741,163,black,negro,"shuwín, nashúm, jimpiách,
kimpí, jákach, jákich, tuntú",NA,,delete,
agr,44,42,0.741,1838,navel,navel,untuch,NAVEL1,,,
hub,44,42,0.741,1838,navel,NA,NA,NA,NA,keep,
jiv,44,42,0.741,1838,navel,ombligo,untuch,NAVEL1,p494,,
acu,44,42,0.741,1838,navel,ombligo,úntuch,NAVEL1,,,
agr,45,45,0.738,1442,to stand,stand,wah-amu,NA,,keep,
hub,45,45,0.738,1442,to stand,aguantar,katsuntratsa/katsunteamu/katsuntat,STAND1,p131,,
jiv,45,45,0.738,1442,to stand,aguartat,katsuntratin,STAND1,p39,,
acu,45,45,0.738,1442,to stand,aguantar,katsúntratin,STAND1,,,
acu,45,45,0.738,1442,to stand,aguantar,"atsántratin, tsántratin",NA,,delete,
agr,46,46,0.736,1403,to bite,bite,ɨsat,BITE1,,,
hub,46,46,0.736,1403,to bite,morder,esait,BITE1,p187,,
hub,46,46,0.736,1403,to bite,morder,esaittsa/esaimu/,NA,,delete,
jiv,46,46,0.736,1403,to bite,morder,esaitin esar,BITE1,p463,,
acu,46,46,0.736,1403,to bite,morder,áasmamratin,NA,,,
agr,47,46,0.736,1291,back,back,tuntup,BACK1,,,
agr,47,46,0.736,1291,back,back,maya-tai,NA,,delete,
hub,47,46,0.736,1291,back,espalda,tuntupen,NA,,delete,
hub,47,46,0.736,1291,back,espalda,tuntup,BACK1,p166,,
hub,47,46,0.736,1291,back,espalda,sunturi/sunturin,NA,p166,delete,
jiv,47,46,0.736,1291,back,espalda,tuntúp,BACK1,p275,,
acu,47,46,0.736,1291,back,espalda,tuntúp,BACK1,,,
agr,48,48,0.736,960,wind,wind,dasɨ,WIND1,,,
hub,48,48,0.736,960,wind,viento,nase/nasen,WIND1,p220,,
jiv,48,48,0.736,960,wind,viento,nase,WIND1,p660,,
jiv,48,48,0.736,960,wind,viento,mayai,NA,p660,delete,
acu,48,48,0.736,960,wind,viento,nasé,WIND1,,,
agr,49,49,0.734,778,smoke,smoke (noun),chaag buku'itimu,NA,,keep,
hub,49,49,0.734,778,smoke,humo,mukuintun,NA,,delete,
hub,49,49,0.734,778,smoke,humo,mukuintu,SMOKE1,p175,,
jiv,49,49,0.734,778,smoke,humo,mukuint',SMOKE1,p355,,
acu,49,49,0.734,778,smoke,humo,mukúnit,SMOKE1,,,
agr,50,50,0.732,1236,what?,what?,wa'hi,WHAT1,,,
hub,50,50,0.732,1236,what?,qué,wari,WHAT1,p202,,
jiv,50,50,0.732,1236,what?,que,warim,WHAT1,p552,,
acu,50,50,0.732,1236,what?,qué,warí,WHAT1,,,
agr,51,51,0.73,2099,child (kin term),child,uchi,CHILD1,,,
hub,51,51,0.73,2099,child (kin term),hijo,uchin,NA,,delete,
hub,51,51,0.73,2099,child (kin term),hijo,uchi,CHILD1,p173,,
jiv,51,51,0.73,2099,child (kin term),hijo,uchirí nawantri,CHILD1,p349,possibly not cognate,
acu,51,51,0.73,2099,child (kin term),hijo,uchi-,CHILD1,,,
agr,52,52,0.728,744,egg,egg,nu'hin,EGG1,,,
hub,52,52,0.728,744,egg,huevo,nujin,EGG1,p174,,
hub,52,52,0.728,744,egg,huevo,nujintan,NA,,delete,
jiv,52,52,0.728,744,egg,huevo,nujint,EGG2,p354,,
jiv,52,52,0.728,744,egg,huevo,téeri,NA,,delete,
acu,52,52,0.728,744,egg,huevo,nujín,EGG1,,,
acu,52,52,0.728,744,egg,huevo,nujínt,EGG2,,,
agr,53,53,0.727,1447,to give,give,suwamu,,,,
hub,53,53,0.727,1447,to give,dar,susattsa,GIVE1,p156,,
hub,53,53,0.727,1447,to give,dar,/suamu/suta,,,delete,
jiv,53,53,0.727,1447,to give,dar,súsatin,GIVE1,p190,,
jiv,53,53,0.727,1447,to give,dar,amástin,,p190,delete,
acu,53,53,0.727,1447,to give,dar,súsatin,GIVE1,,,
agr,54,53,0.727,1231,new,new,ya'ma-ham,NEW1,,,
hub,54,53,0.727,1231,new,nuevo,yamaram,NEW1,p190,,
jiv,54,53,0.727,1231,new,nuevo/a,yamaram,NEW1,p482,,
jiv,54,53,0.727,1231,new,nuevo/a,yama najanamu,,p482,delete,
acu,54,53,0.727,1231,new,nuevo,yamáram,NEW1,,,
agr,55,53,0.727,2102,to burn (intr.),burn (vb intrans),kɨɨt,,,REASSESS,
hub,55,53,0.727,2102,to burn (intr.),quemar,apeatsa/apeamu/apet,,p202,REASSESS,
hub,55,53,0.727,2102,to burn (intr.),quemar,wegkatsa/wegkamu/wegkat,,p202,REASSESS,
hub,55,53,0.727,2102,to burn (intr.),quemar,asatsa/asamu/asat,,p202,REASSESS,
jiv,55,53,0.727,2102,to burn (intr.),quemar,aesatin,,p552,REASSESS,
jiv,55,53,0.727,2102,to burn (intr.),quemar,ekemaktin,,p552,REASSESS,
acu,55,53,0.727,2102,to burn (intr.),quemar,áaskamu,,transitive,REASSESS,
agr,56,56,0.726,1240,not,NA,NA,NA,,,
hub,56,56,0.726,1240,not,no,atsa,NOT1,p189,,
jiv,56,56,0.726,1240,not,no,atsa tama,NOT1,p479,,
acu,56,56,0.726,1240,not,no,atsá,NOT1,,,
acu,56,56,0.726,1240,not,no,tsá,NA,,DELETE,
agr,57,57,0.726,1035,good,good,'pɨgkɨg,GOOD1,,,
hub,57,57,0.726,1035,good,bueno,pegker,GOOD1,p142,,
hub,57,57,0.726,1035,good,bueno,shir,NA,p142,DELETE,
jiv,57,57,0.726,1035,good,bueno/na,penker/papú,GOOD1,p108,,
acu,57,57,0.726,1035,good,bueno,péngker,GOOD1,,,
agr,58,58,0.725,3626,to know,know,dɨkat,NA,,REASSESS,
hub,58,58,0.725,3626,to know,saber,yachamartsa/yachamu/yachamat,,p207,REASSESS,
hub,58,58,0.725,3626,to know,saber/conocer,nekatsa/nekamu/nekat,KNOW1,p150/207,REASSESS,
hub,58,58,0.725,3626,to know,saber/conocer,wainmaktasa/wainmamu/wainmat,,p150/207,REASSESS,
jiv,58,58,0.725,3626,to know,conocer,nekátin,KNOW1,p156,REASSESS,
jiv,58,58,0.725,3626,to know,saber,neka/nekatai,KNOW1,p582,REASSESS,
acu,58,58,0.725,3626,to know,saber/conocer,nekáatin,KNOW1,,REASSESS,
agr,59,59,0.724,1371,knee,knee,ti'kish-mat,KNEE1,,?,
hub,59,59,0.724,1371,knee,rodilla,tikish/tikishin,KNEE1,p206,,
jiv,59,59,0.724,1371,knee,rodilla,tikish,KNEE1,p576,,
acu,59,59,0.724,1371,knee,rodilla,tikísh,KNEE1,,,
agr,60,59,0.724,671,sand,sand,ka'amatak,NA,,,
hub,60,59,0.724,671,sand,arena,yaikim/yaikmin,SAND1,p136,,
jiv,60,59,0.724,671,sand,arena,NA,NA,NA,,
acu,60,59,0.724,671,sand,arena,yáikim,SAND1,,,
acu,60,59,0.724,671,sand,arena,"nayákim, yayákim, náikim",NA,,DELETE,
agr,61,61,0.723,1355,to laugh,laugh,du'shi-amu,NA,,,
hub,61,61,0.723,1355,to laugh,reír,wishit,LAUGH1,p204,,
hub,61,61,0.723,1355,to laugh,reír,wishirtasa/wishiamu/,NA,,DELETE,
jiv,61,61,0.723,1355,to laugh,reír,wishir,LAUGH1,p566,,
acu,61,61,0.723,1355,to laugh,reír,wishírtin,LAUGH1,,,
agr,62,61,0.723,1408,to hear,hear,antut,HEAR1,,,
hub,62,61,0.723,1408,to hear,oír/escuchar,antut,HEAR1,p190,,
hub,62,61,0.723,1408,to hear,oír/escuchar,antuktasa/antamu/,NA,,DELETE,
jiv,62,61,0.723,1408,to hear,escushar,antúktin,NA,p274,DELETE,
jiv,62,61,0.723,1408,to hear,oír,antuk,HEAR1,p492,,
acu,62,61,0.723,1408,to hear,oír (escuchar),antúktin,HEAR1,,,
agr,63,63,0.722,1228,soil,"earch=ground, soil",nugka,SOIL1,,,
hub,63,63,0.722,1228,soil,tierra/mundo/suelo,nugka,SOIL1,p215,,
hub,63,63,0.722,1228,soil,tierra/mundo/suelo,/nugkan,NA,,DELETE,
jiv,63,63,0.722,1228,soil,tierra/suelo,nunka,SOIL1,p623,,
acu,63,63,0.722,1228,soil,"tierra, suelo, mundo",núngka,SOIL1,,,
agr,64,64,0.721,628,leaf,leaf,duka,LEAF1,,,
hub,64,64,0.721,628,leaf,hoja,nuka,LEAF1,p173,,
hub,64,64,0.721,628,leaf,hoja,nukan,NA,,DELETE,
jiv,64,64,0.721,628,leaf,hoja,nuka,LEAF1,p351,,
acu,64,64,0.721,628,leaf,hoja,núka,LEAF1,,,
agr,65,64,0.721,156,red,red,kapantu,RED1,,,
hub,65,64,0.721,156,red,rojo,kapantin,RED1,p206,,
jiv,65,64,0.721,156,red,rojo,kapaku,RED1,p577,,
acu,65,64,0.721,156,red,rojo,kapántin,RED1,,,
agr,66,66,0.72,1224,liver,liver,akap,LIVER1,,,
hub,66,66,0.72,1224,liver,hígado,akap,LIVER1,p173,,
hub,66,66,0.72,1224,liver,hígado,akapen,NA,,DELETE,
jiv,66,66,0.72,1224,liver,higado,akap,LIVER1,p348,,
acu,66,66,0.72,1224,liver,hígado,akáp,LIVER1,,,
agr,67,67,0.718,602,to hide,"hide, conceal",uu-mat,HIDE1,,,
hub,67,67,0.718,603,to hide,esconder,umat,HIDE1,p165,,
hub,67,67,0.718,603,to hide,esconder,umkatsa/umeamu/,NA,,DELETE,
jiv,67,67,0.718,604,to hide,esconder,uuktin,HIDE1,p273,,
acu,67,67,0.718,605,to hide,esconder o ocultar,nítrumaktin,,,REASSESS,
agr,68,67,0.718,763,skin/hide,"skin, hide",duwap-ɨ pushihi,,,REASSESS,
hub,68,67,0.718,763,skin/hide,"piel, cuero",nuap,SKIN1,p197,,
hub,68,67,0.718,763,skin/hide,"piel, cuero",/nuapen,NA,,DELETE,
jiv,68,67,0.718,763,skin/hide,piel,sejik,NA,p525,DELETE,
jiv,68,67,0.718,763,skin/hide,piel,nuap,SKIN1,p525,,
acu,68,67,0.718,763,skin/hide,"1.piel, cutis. 2.cuero, pellejo,",nuwáp,SKIN1,,,
agr,69,67,0.718,1421,to suck,suck,bukunat,SUCK1,,,
hub,69,67,0.718,1421,to suck,chupar,mukunat,SUCK1,p155,,
hub,69,67,0.718,1421,to suck,chupar,mukunatsa/mukuneamu/,NA,,DELETE,
jiv,69,67,0.718,1421,to suck,chupar,mukunatin,SUCK1,p186,,
jiv,69,67,0.718,1421,to suck,chupar,/pitiurtin,NA,,DELETE,
acu,69,67,0.718,1421,to suck,chupar,apáatin,NA,,,
agr,70,70,0.717,700,to carry,carry (bear),ɨmat,,,REASSESS,
hub,70,70,0.717,700,to carry,cargar,takustasa/takamu/takut,,p145,REASSESS,
jiv,70,70,0.717,700,to carry,cargar,enkektin/turunktin,,p124,REASSESS,
acu,70,70,0.717,700,to carry,,,,"p380, check with others",REASSESS,
agr,71,71,0.716,587,ant,ant,wisut,NA,,,
hub,71,71,0.716,587,ant,hormiga,NA,NA,p174,,
jiv,71,71,0.716,587,ant,hormiga,weeka ánin/chunkiamár,NA,p353,,
acu,71,71,0.716,587,ant,hormiga,"masaran, masárant ",NA,,,
agr,72,71,0.716,,heavy,heavy,ki'hin,HEAVY1,,,
hub,72,71,0.716,1210,heavy,pesado,kijin,HEAVY1,p196,,
jiv,72,71,0.716,1211,heavy,pesado,kijin,HEAVY1,p523,,
acu,72,71,0.716,1212,heavy,pesado,méram,NA,,,
agr,73,71,0.716,1213,to take,take,umut,TAKE1,,,
hub,73,71,0.716,1749,to take,tomar,umut,TAKE1,p215,,
hub,73,71,0.716,1749,to take,tomar,umartasa/umamu,NA,p215,DELETE,
jiv,73,71,0.716,1749,to take,tomar,achik,NA,p626,,
jiv,73,71,0.716,1749,to take,tomar,umut,TAKE1,p626,,
acu,73,71,0.716,1749,to take,tomar,"amúrtin, umúrtin, múrtin. ",NA,,,
agr,74,74,0.715,1229,old,old,muun-tuch,NA,,,
hub,74,74,0.715,1229,old,viejo (anciano),ashan/ashantan,NA,p220,DELETE,
hub,74,74,0.715,1229,old,viejo (anciano),uuntach/uuntachin,OLD1,p220,,
jiv,74,74,0.715,1229,old,viejo,untach,OLD1,p660,,
jiv,74,74,0.715,1229,old,viejo,yaunchunia,NA,p660,DELETE,
acu,74,74,0.715,1229,old,viejo (anciano),weámrau,NA,,,
agr,75,75,0.714,1336,to eat,eat,yuwamu,,,REASSESS,
hub,75,75,0.714,1336,to eat,comer,yuatsa/yuamut/yuta,,p149,REASSESS,
jiv,75,75,0.714,1336,to eat,comer,yurumatin/nucher,,p145,REASSESS,
acu,75,75,0.714,1336,to eat,comer,yúwatin,,,REASSESS,
agr,76,76,0.712,471,thigh,thigh,baku,THIGH1,,,
hub,76,76,0.712,472,thigh,muslo,maku/makun,THIGH1,p188,,
jiv,76,76,0.712,473,thigh,muslo,maku,THIGH1,p470,,
acu,76,76,0.712,474,thigh,muslo,máku,THIGH1,,,
agr,77,76,0.712,1244,thick,thick (in dimension),kam'puham,THICK1,,,
hub,77,76,0.712,1244,thick,grueso,kampuram,THICK1,p171,,
jiv,77,76,0.712,1244,thick,grueso,kámpuram/núparam,THICK1,p336,,
acu,77,76,0.712,1244,thick,"grueso (sogas, plátanos, yucas)",ápu,NA,,,
acu,77,76,0.712,1244,thick,"grueso (papel, tela)","nupáram, tuup",,,,
agr,78,78,0.707,1203,long,long,ɨ'saham,LONG1,,,
hub,78,78,0.707,1203,long,largo,asaram,LONG1,p178,,
jiv,78,78,0.707,1203,long,largo,esaram,LONG1,p406,,
jiv,78,78,0.707,1203,long,largo,nuntúaru,NA,p406,DELETE,
jiv,78,78,0.707,1203,long,largo,nuntúuntut,NA,p406,DELETE,
acu,78,78,0.707,1203,long,largo,"apiáng, sáram",NA,,DELETE,
acu,78,78,0.707,1203,long,largo,esáram,LONG1,,,
agr,79,79,0.706,176,to blow,blow,umpuut,BLOW1,,,
hub,79,79,0.706,176,to blow,soplar,umput,BLOW1,p212,,
hub,79,79,0.706,176,to blow,soplar,umpuartasa/umpuamu/,NA,,DELETE,
jiv,79,79,0.706,176,to blow,soplar,umpuar,BLOW1,p602,,
acu,79,79,0.706,176,to blow,,,,p498,REASSESS,
agr,80,80,0.705,1803,wood,wood,numi,WOOD1,,,
hub,80,80,0.705,1803,wood,madera,numi,WOOD1,p182,,
hub,80,80,0.705,1803,wood,madera,/numin,NA,,DELETE,
jiv,80,80,0.705,1803,wood,madera,numi katsurmari,,p426,REASSESS,
acu,80,80,0.705,1803,wood,tabla de madera,táu,NA,,KEEP,
acu,80,80,0.705,1803,wood,madera no aserrada,trúngku,NA,,KEEP,
agr,81,81,0.704,1519,to run,run,tupikaut,,,REASSESS,
hub,81,81,0.704,1519,to run,correr,tsekegtasa/tsekeamu/tseket,,p151,REASSESS,
jiv,81,81,0.704,1519,to run,correr,tsékentin,,p167,REASSESS,
acu,81,81,0.704,1519,to run,correr,ampúktin,,,REASSESS,
agr,82,81,0.704,1280,to fall,fall,iyaut,,,REASSESS,
hub,82,81,0.704,1280,to fall,caer,iyartasa/iyamu/iyat,,p143,REASSESS,
jiv,82,81,0.704,1280,to fall,caer,ajuartin/ajunktin/iniartin,,p114,REASSESS,
acu,82,81,0.704,1280,to fall,,,,p377,REASSESS,
agr,83,83,0.703,1248,eye,eye,hii,EYE1,,,
hub,83,83,0.703,1248,eye,ojo,ji,EYE1,p190,,
hub,83,83,0.703,1248,eye,ojo,jin,NA,,DELETE,
jiv,83,83,0.703,1248,eye,ojo,jii,EYE1,p492,,
jiv,83,83,0.703,1248,eye,ojo,entsa kayanmaya jiniu,NA,p492,DELETE,
acu,83,83,0.703,1248,eye,ojo,jii,EYE1,,,
agr,84,84,0.699,646,ash,ashes,yuku,ASH1,,,
hub,84,84,0.699,646,ash,ceniza,pushurin/pushurnun,NA,p146,DELETE,
hub,84,84,0.699,646,ash,ceniza,yugkunim,ASH2,p146,,
jiv,84,84,0.699,646,ash,ceniza,yunkunim,ASH2,p131,,
acu,84,84,0.699,646,ash,ceniza,yukúu,ASH1,,,
agr,85,84,0.699,1220,tail,tail,uhu'kɨ,TAIL1,,,
hub,85,84,0.699,1220,tail,cola,ujuke,TAIL1,p148,,
hub,85,84,0.699,1220,tail,cola,ujuken,NA,,DELETE,
jiv,85,84,0.699,1220,tail,cola,ujuké,TAIL1,p143,,
jiv,85,84,0.699,1220,tail,cola,yamín umútai,NA,p143,DELETE,
acu,85,84,0.699,1220,tail,cola,ujuké,TAIL1,,,
acu,85,84,0.699,1220,tail,cola,", juké.",NA,,DELETE,
agr,86,84,0.699,2009,dog,dog,ya'wa,DOG1,,,
hub,86,84,0.699,2009,dog,perro,yawa,DOG1,p196,,
hub,86,84,0.699,2009,dog,perro,/yawan,NA,,DELETE,
jiv,86,84,0.699,2009,dog,perro,yawa aishmank,,p522,REASSESS,
acu,86,84,0.699,2009,dog,perro,", tangkú yawáa.",NA,,DELETE,
acu,86,84,0.699,2009,dog,perro,yawáa,DOG1,,,
agr,87,87,0.698,1839,to cry/weep,"cry, weep",buutut,,,REASSESS,
agr,87,87,0.698,1839,to cry/weep,"cry, weep",buut-bau,,,REASSESS,
hub,87,87,0.698,1839,to cry/weep,llorar,uutasa/uutmau/uutat,,p182,REASSESS,
jiv,87,87,0.698,1839,to cry/weep,llorar,uttin,,p422,REASSESS,
acu,87,87,0.698,1839,to cry/weep,llorar,júutin,,,REASSESS,
agr,88,88,0.697,1917,to tie,"tie, bind",higkat,TIE1,,,
hub,88,88,0.697,1917,to tie,amarrar,jigkat,TIE1,p133,,
