language,adapted-concept-num,concept-number,composite-score,concepticonID,leipzig-jakarta-concept,concept-original-reference,IPA,cognates,comments
agr,1,1,0.901,221,fire,fire,hii kɨɨ'ku,FIRE1,
hub,1,1,0.901,221,fire,fuego,jii,FIRE1,
hub,1,1,0.901,221,fire,fuego,jiin,FIRE1,
jiv,1,1,0.901,221,fire,fuego,jii,FIRE1,
acu,1,1,0.901,221,fire,fuego,ji,FIRE1,
agr,2,2,0.864,1221,nose,nose,nuhi,NOSE1,
hub,2,2,0.864,1221,nose,nariz,nuji/nujin,NOSE1,
jiv,2,2,0.864,1221,nose,nariz,nuji,NOSE1,
acu,2,2,0.864,1221,nose,nariz,nují,NOSE1,
agr,3,3,0.832,695,to go,go,wɨta,GO1,
hub,3,3,0.832,695,to go,ir,weta,GO1,
jiv,3,3,0.832,695,to go,ir,we-tin,GO1,
acu,3,3,0.832,695,to go,"ir, irse",wétin,GO1,
agr,4,4,0.831,948,water,water/rain,jumi,WATER1,
hub,4,4,0.831,948,water,agua,entsa,WATER1,
hub,4,4,0.831,948,water,agua,jumi/jumin,WATER1,
jiv,4,4,0.831,948,water,agua,entsa,WATER2,
acu,4,4,0.831,948,water,agua,jumi,WATER1,
agr,5,5,0.817,674,mouth,mouth,wɨnu,MOUTH1,
hub,5,5,0.817,674,mouth,boca,wene,MOUTH1,
jiv,5,5,0.817,674,mouth,boca,wene,MOUTH1,
acu,5,5,0.817,674,mouth,boca,jángke,NA,
agr,6,6,0.808,1205,tongue,tongue,i-dai,TONGUE1,
hub,6,6,0.808,1205,tongue,lengua,inai/inain,TONGUE1,
jiv,6,6,0.808,1205,tongue,lengua,iniai,TONGUE2,
acu,6,6,0.808,1205,tongue,lengua,inái,TONGUE1,
acu,6,6,0.808,1205,tongue,lengua,iniái,TONGUE2,
agr,7,7,0.805,946,blood,blood,numpa,BLOOD1,
hub,7,7,0.805,946,blood,sangre,numpa,BLOOD1,
jiv,7,7,0.805,946,blood,sangre,numpa,BLOOD1,
acu,7,7,0.805,946,blood,sangre,numpa,BLOOD1,
agr,8,7,0.805,1394,bone,bone,ukunch,BONE1,
hub,8,7,0.805,1394,bone,hueso,ukunch,BONE1,
jiv,8,7,0.805,1394,bone,hueso,ukunch',BONE1,
acu,8,7,0.805,1394,bone,hueso,ukúnch,BONE1,
agr,9,9,0.798,1213,2nd-person singular pronoun (you),you (singular),amɨ,YOU1,
hub,9,9,0.798,1213,2nd-person singular pronoun (you),tú,ame,YOU1,
jiv,9,9,0.798,1213,2nd-person singular pronoun (you),tú,ame,YOU1,
acu,9,9,0.798,1213,2nd-person singular pronoun (you),tú,áme,YOU1,
agr,10,9,0.798,670,root,root,kagka'pɨ,ROOT1,
hub,10,9,0.798,670,root,raíz,kagkap,ROOT1,
jiv,10,9,0.798,670,root,raíz,tserup,NA,
acu,10,9,0.798,670,root,NA,NA,NA,
agr,11,11,0.796,1446,to come,come,minit,COME1,
hub,11,11,0.796,1446,to come,venir,winit,COME1,
hub,11,11,0.796,1446,to come,venir,taatsa/taamu/taata,NA,
jiv,11,11,0.796,1446,to come,venir,taa,NA,
acu,11,11,0.796,1446,to come,venir,winítin,COME1,
agr,12,12,0.783,1402,breast,breast (of woman),munchu,BREAST1,
hub,12,12,0.783,1402,breast,seno,muntsu,BREAST1,
jiv,12,12,0.783,1402,breast,seno,muntsu,BREAST1,
acu,12,12,0.783,1402,breast,"pecho, teta, seno",múntsu,BREAST1,
agr,13,13,0.782,658,rain,rain(noun),jumi,RAIN1,
hub,13,13,0.782,658,rain,lluvia,jumi/jumin,RAIN1,
jiv,13,13,0.782,658,rain,lluvia,jumi jutaa,RAIN1,
acu,13,13,0.782,658,rain,lluvia,júmi,RAIN1,
agr,14,14,0.776,1209,1st-person singular pronoun (I/me),I,wi,I1,
hub,14,14,0.776,1209,1st-person singular pronoun (I/me),yo,wi,I1,
jiv,14,14,0.776,1209,1st-person singular pronoun (I/me),yo,wi,I1,
acu,14,14,0.776,1209,1st-person singular pronoun (I/me),yo,wíkia,NA,
agr,15,15,0.774,1405,name,name,daahi,NAME1,
hub,15,15,0.774,1405,name,nombre,naari/naarin,NAME1,
jiv,15,15,0.774,1405,name,nombre,naa,NAME1,
acu,15,15,0.774,1405,name,mi nombre,náar,NAME1,
agr,16,15,0.774,1392,louse,louse,tɨma,LOUSE1,
hub,16,15,0.774,1392,louse,piojo,tema,LOUSE1,
jiv,16,15,0.774,1392,louse,piojo,tema,LOUSE1,
acu,16,15,0.774,1392,louse,piojo,téma,LOUSE1,
agr,17,17,0.773,1257,wing,wing,nanapɨ,WING1,
hub,17,17,0.773,1257,wing,ala,nanap/nanapen,WING1,
jiv,17,17,0.773,1257,wing,ala,nánap,WING1,
acu,17,17,0.773,1257,wing,ala,nanáp,WING1,
agr,18,18,0.771,634,flesh/meat,meat/flesh,nɨhɨ,NA,
hub,18,18,0.771,634,flesh/meat,carne,namag,MEAT1,
jiv,18,18,0.771,634,flesh/meat,carne,namánk,MEAT1,
acu,18,18,0.771,634,flesh/meat,carne,namáng,MEAT1,
agr,19,19,0.768,1277,arm/hand,hand,uwɨ-h,HAND1,
hub,19,19,0.768,1277,arm/hand,mano,uwej,HAND1,
jiv,19,19,0.768,1277,arm/hand,mano,uwej,HAND1,
acu,19,19,0.768,1277,arm/hand,mano,uwéj,HAND1,
agr,19,19,0.768,1673,arm/hand,arm,kuntu,ARM1,
hub,19,19,0.768,1673,arm/hand,brazo,kuntu,ARM1,
jiv,19,19,0.768,1673,arm/hand,brazo,kuntu,ARM1,
acu,19,19,0.768,1673,arm/hand,brazo,NA,NA,
acu,19,19,0.768,1277,arm/hand,brazo,NA,NA,
agr,20,20,0.766,1504,fly (noun),fly,kaap,FLY1,
hub,20,20,0.766,1504,fly,mosca,yantsakap/yantsakapin,NA,
jiv,20,20,0.766,1504,fly,mosca,kaap,FLY1,
acu,20,20,0.766,1504,fly,mosca,NA,NA,
agr,21,20,0.766,1233,night,night,kashi,NIGHT1,
hub,21,20,0.766,1233,night,noche,kashi,NIGHT1,
jiv,21,20,0.766,1233,night,noche,kashi,NIGHT1,
acu,21,20,0.766,1233,night,noche,káshi,NIGHT1,
agr,22,22,0.764,1247,ear,ear,kuwish,EAR1,
hub,22,22,0.764,1247,ear,oreja,kuish,EAR1,
jiv,22,22,0.764,1247,ear,oreja,kuish,EAR1,
acu,22,22,0.764,1247,ear,oreja,kuwísh,EAR1,
agr,23,23,0.76,1333,neck,neck,suwɨ,NA,
hub,23,23,0.76,1333,neck,cuello,kuntej,NECK1,
jiv,23,23,0.76,1333,neck,cuello,kuntuj,NECK1,
acu,23,23,0.76,1333,neck,cuello,kuntúj,NECK1,
agr,24,24,0.76,1406,far,far (adv),a'tushat,NA,
hub,24,24,0.76,1406,far,lejos,jeashat,FAR2,
hub,24,24,0.76,1406,far,lejos,yaja,FAR1,
jiv,24,24,0.76,1406,far,lejos,yajá,FAR1,
jiv,24,24,0.76,1406,far,lejos,jeáchat,FAR2,
acu,24,24,0.76,1406,far,lejos,arák/téjchau,NA,
agr,25,25,0.759,734,to do/make,"do, make",naut/takat,NA,
hub,25,25,0.759,734,to do/make,hacer,najanat,MAKE1,
jiv,25,25,0.759,734,to do/make,hacer,naján-a-tin,MAKE1,
acu,25,25,0.759,734,to do/make,hacer,najánatin,MAKE1,
agr,26,26,0.758,1252,house,house,hɨga,HOUSE1,
hub,26,26,0.758,1252,house,casa,jea/jean,HOUSE1,
jiv,26,26,0.758,1252,house,casa,jea,HOUSE1,
acu,26,26,0.758,1252,house,casa,jéa,HOUSE1,
agr,27,27,0.756,2125,stone/rock,"stone, rock",kaya,ROCK1,
hub,27,27,0.756,2125,stone/rock,piedra,kaya,ROCK1,
jiv,27,27,0.756,2125,stone/rock,piedra,kaya,ROCK1,
acu,27,27,0.756,2125,stone/rock,piedra,káya,ROCK1,
agr,28,28,0.755,887,bitter,bitter,yapau,BITTER1,
hub,28,28,0.755,887,bitter,amargo,yapau,BITTER1,
jiv,28,28,0.755,887,bitter,amargo,yapá,BITTER1,
acu,28,28,0.755,887,bitter,amargo,yapáu,BITTER1,
agr,29,28,0.755,1458,to say,say,ɨ'chɨhut,NA,
hub,29,28,0.755,1458,to say,decir,titasa/tamu/tuta,NA,
jiv,29,28,0.755,1458,to say,decir,títin,SAY1,
acu,29,28,0.755,1458,to say,decir,títin,SAY1,
agr,30,28,0.755,1380,tooth,tooth,dai,TOOTH1,
hub,30,28,0.755,1380,tooth,diente,nai,TOOTH1,
jiv,30,28,0.755,1380,tooth,diente,nai,TOOTH1,
acu,30,28,0.755,1380,tooth,diente,nái,TOOTH1,
agr,31,31,0.754,1040,hair,hair,intash,HAIR1,
hub,31,31,0.754,1040,hair,pelo de hombre,wiich/wiichin,NA,
hub,31,31,0.754,1040,hair,pelo de mujer,intash,HAIR1,
jiv,31,31,0.754,1040,hair,pelo,intiash,HAIR1,
acu,31,31,0.754,1040,hair,pelo,intásh,HAIR1,
agr,32,32,0.753,1202,big,"large, big",muun,BIG1,
hub,32,32,0.753,1202,big,grande,uun,BIG1,
jiv,32,32,0.753,1202,big,grande,uúnt,BIG2,
acu,32,32,0.753,1202,big,grande,juun,BIG1,
acu,32,32,0.753,1202,big,grande,juunt,BIG2,
agr,33,32,0.753,1493,one,one,makichik,NA,
hub,33,32,0.753,1493,one,uno,chikichik,ONE1,
jiv,33,32,0.753,1493,one,uno,chikichik,ONE1,
acu,33,32,0.753,1493,one,"un, una, uno",chikíchik,ONE1,
agr,34,34,0.749,1235,who?,who?,ya,WHO1,
hub,34,34,0.749,1235,who?,quién,yaki,WHO2,
hub,34,34,0.749,1235,who?,quién,ya,WHO1,
jiv,34,34,0.749,1235,who?,quién,yaa,WHO1,
acu,34,34,0.749,1235,who?,quién,ya,WHO1,
acu,34,34,0.749,1235,who?,quién,yáki,WHO2,
agr,35,34,0.749,262,3rd-person singular pronoun (he/she/it/him/her),he/she/it,atum,NA,
hub,35,34,0.749,262,3rd-person singular pronoun (he/she/it/him/her),él/ella,nii,HER1,
jiv,35,34,0.749,262,3rd-person singular pronoun (he/she/it/him/her),ella,nií,HER1,
acu,35,34,0.749,262,3rd-person singular pronoun (he/she/it/him/her),"él,ella",áu,NA,
agr,36,36,0.748,1433,to hit/beat,"strike (hit, beat)",awatut,NA,
hub,36,36,0.748,1433,to hit/beat,golpear,awatasa/awatiamu/awatiat,NA,
hub,36,36,0.748,1433,to hit/beat,golpear,ajiatsa/ajiamu/ajiat,NA,
jiv,36,36,0.748,1433,to hit/beat,golpear,ajiarttin' tukumratin,NA,
jiv,36,36,0.748,1433,to hit/beat,golpear,jatektin,NA,
acu,36,36,0.748,1433,to hit/beat,"whip, hit, beat",awátratin,NA,
agr,37,37,0.747,1301,leg/foot,foot,dawɨ,FOOT1,
hub,37,37,0.747,1301,leg/foot,pie,nawe/nawen,FOOT1,
jiv,37,37,0.747,1301,leg/foot,pie,nawe,FOOT1,
acu,37,37,0.747,1301,leg/foot,pie,náwe,FOOT1,
agr,37,37,0.747,1295,leg/foot,"leg, calf of leg",kuhap,NA,
hub,37,37,0.747,1297,leg/foot,pierna,maku/makun,LEG1,
jiv,37,37,0.747,1297,leg/foot,pierna,maku,LEG1,
acu,37,37,0.747,1297,leg/foot,pierna,máku,LEG1,
agr,38,38,0.745,1393,horn,horn,kachu,HORN1,
hub,38,38,0.745,1393,horn,cuerno,antiri,HORN2,
hub,38,38,0.745,1393,horn,cuerno,kachu,HORN1,
jiv,38,38,0.745,1393,horn,cuerno,káchu,HORN1,
acu,38,38,0.745,1393,horn,cuerno,antíri,HORN2,
agr,39,38,0.745,1214,this,this,NA,NA,
hub,39,38,0.745,1214,this,este,ju,THIS1,
jiv,39,38,0.745,1214,this,este,jú,THIS1,
acu,39,38,0.745,1214,this,este,ju,THIS1,
agr,40,38,0.745,227,fish,fish,namak,FISH1,
hub,40,38,0.745,227,fish,pescado,namak,FISH1,
jiv,40,38,0.745,227,fish,pescado,namak,FISH1,
acu,40,38,0.745,227,fish,pescado,namák,FISH1,
agr,41,41,0.744,1174,yesterday,yesterday,ya'u,YESTERDAY1,
hub,41,41,0.744,1174,yesterday,ayer,yau,YESTERDAY1,
jiv,41,41,0.744,1174,yesterday,ayer,yaú,YESTERDAY1,
acu,41,41,0.744,1174,yesterday,ayer,yáau,YESTERDAY1,
agr,42,42,0.741,1401,to drink,drink,umu-t,DRINK1,
hub,42,42,0.741,1401,to drink,beber,umut,DRINK1,
jiv,42,42,0.741,1401,to drink,beber,umartin,DRINK2,
acu,42,42,0.741,1401,to drink,beber,umúrtin,DRINK2,
agr,43,42,0.741,163,black,black,shu'win,BLACK3,
hub,43,42,0.741,163,black,negro,mukusa,BLACK1,
hub,43,42,0.741,163,black,negro,tunturu,BLACK2,
jiv,43,42,0.741,163,black,negro,mukusa,BLACK1,
acu,43,42,0.741,163,black,negro,tuntúru,BLACK2,
acu,43,42,0.741,163,black,negro,shuwín,BLACK3,
agr,44,42,0.741,1838,navel,navel,untuch,NAVEL1,
hub,44,42,0.741,1838,navel,NA,NA,NA,
jiv,44,42,0.741,1838,navel,ombligo,untuch,NAVEL1,
acu,44,42,0.741,1838,navel,ombligo,úntuch,NAVEL1,
agr,45,45,0.738,1442,to stand,stand,wah-amu,NA,
hub,45,45,0.738,1442,to stand,aguantar,katsuntratsa/katsunteamu/katsuntat,STAND1,
jiv,45,45,0.738,1442,to stand,aguartat,katsuntratin,STAND1,
acu,45,45,0.738,1442,to stand,aguantar,katsúntratin,STAND1,
agr,46,46,0.736,1403,to bite,bite,ɨsat,BITE1,
hub,46,46,0.736,1403,to bite,morder,esait,BITE1,
jiv,46,46,0.736,1403,to bite,morder,esaitin esar,BITE1,
acu,46,46,0.736,1403,to bite,morder,áasmamratin,NA,
agr,47,46,0.736,1291,back,back,tuntup,BACK1,
hub,47,46,0.736,1291,back,espalda,tuntup,BACK1,
jiv,47,46,0.736,1291,back,espalda,tuntúp,BACK1,
acu,47,46,0.736,1291,back,espalda,tuntúp,BACK1,
agr,48,48,0.736,960,wind,wind,dasɨ,WIND1,
hub,48,48,0.736,960,wind,viento,nase/nasen,WIND1,
jiv,48,48,0.736,960,wind,viento,nase,WIND1,
acu,48,48,0.736,960,wind,viento,nasé,WIND1,
agr,49,49,0.734,778,smoke,smoke (noun),chaag buku'itimu,NA,
hub,49,49,0.734,778,smoke,humo,mukuintu,SMOKE1,
jiv,49,49,0.734,778,smoke,humo,mukuint',SMOKE1,
acu,49,49,0.734,778,smoke,humo,mukúnit,SMOKE1,
agr,50,50,0.732,1236,what?,what?,wa'hi,WHAT1,
hub,50,50,0.732,1236,what?,qué,wari,WHAT1,
jiv,50,50,0.732,1236,what?,que,warim,WHAT1,
acu,50,50,0.732,1236,what?,qué,warí,WHAT1,
agr,51,51,0.73,2099,child (kin term),child,uchi,CHILD1,
hub,51,51,0.73,2099,child (kin term),hijo,uchi,CHILD1,
jiv,51,51,0.73,2099,child (kin term),hijo,uchirí nawantri,NA,
acu,51,51,0.73,2099,child (kin term),hijo,uchi-,CHILD1,
agr,52,52,0.728,744,egg,egg,nu'hin,EGG1,
hub,52,52,0.728,744,egg,huevo,nujin,EGG1,
jiv,52,52,0.728,744,egg,huevo,nujint,EGG2,
acu,52,52,0.728,744,egg,huevo,nujín,EGG1,
acu,52,52,0.728,744,egg,huevo,nujínt,EGG2,
agr,53,53,0.727,1447,to give,give,suwamu,,
hub,53,53,0.727,1447,to give,dar,susattsa,GIVE1,
jiv,53,53,0.727,1447,to give,dar,súsatin,GIVE1,
acu,53,53,0.727,1447,to give,dar,súsatin,GIVE1,
agr,54,53,0.727,1231,new,new,ya'ma-ham,NEW1,
hub,54,53,0.727,1231,new,nuevo,yamaram,NEW1,
jiv,54,53,0.727,1231,new,nuevo/a,yamaram,NEW1,
acu,54,53,0.727,1231,new,nuevo,yamáram,NEW1,
agr,55,53,0.727,2102,to burn (intr.),burn (vb intrans),kɨɨt,NA,
hub,55,53,0.727,2102,to burn (intr.),quemar,apeatsa/apeamu/apet,NA,
hub,55,53,0.727,2102,to burn (intr.),quemar,wegkatsa/wegkamu/wegkat,NA,
hub,55,53,0.727,2102,to burn (intr.),quemar,asatsa/asamu/asat,NA,
jiv,55,53,0.727,2102,to burn (intr.),quemar,aesatin,NA,
jiv,55,53,0.727,2102,to burn (intr.),quemar,ekemaktin,NA,
acu,55,53,0.727,2102,to burn (intr.),quemar,áaskamu,NA,
agr,56,56,0.726,1240,not,NA,NA,NA,
hub,56,56,0.726,1240,not,no,atsa,NOT1,
jiv,56,56,0.726,1240,not,no,atsa tama,NOT1,
acu,56,56,0.726,1240,not,no,atsá,NOT1,
agr,57,57,0.726,1035,good,good,'pɨgkɨg,GOOD1,
hub,57,57,0.726,1035,good,bueno,pegker,GOOD1,
jiv,57,57,0.726,1035,good,bueno/na,penker/papú,GOOD1,
acu,57,57,0.726,1035,good,bueno,péngker,GOOD1,
agr,58,58,0.725,3626,to know,know,dɨkat,NA,
